2020-04-01,Apuane,Carrara,5
2020-04-01,Apuane,Massa,1
2020-04-01,Apuane,Montignoso,2
2020-04-01,Lunigiana,Aulla,3
2020-04-01,Lunigiana,Bagnone,6
2020-04-01,Lunigiana,Filattiera,3
2020-04-01,Lunigiana,Fivizzano,2
2020-04-01,Lunigiana,Licciana Nardi,1
2020-04-01,Lunigiana,Pontremoli,4
2020-04-01,Lunigiana,Villafranca in Lunigiana,4
2020-04-01,Piana di Lucca,Lucca,5
2020-04-01,Valle del Serchio,Bagni di Lucca,1
2020-04-01,Valle del Serchio,Barga,2
2020-04-01,Valle del Serchio,Borgo a Mozzano,1
2020-04-01,Valle del Serchio,Gallicano,1
2020-04-01,Valle del Serchio,Molazzana,2
2020-04-01,Zona Pisana,Cascina,4
2020-04-01,Zona Pisana,Pisa,6
2020-04-01,Zona Pisana,San Giuliano Terme,2
2020-04-01,Zona Pisana,Vicopisano,1
2020-04-01,Zona Livornese,Collesalvetti,1
2020-04-01,Zona Livornese,Livorno,2
2020-04-01,Bassa val di Cecina Val di Cornia,Campiglia Marittima,2
2020-04-01,Bassa val di Cecina Val di Cornia,Cecina,1
2020-04-01,Bassa val di Cecina Val di Cornia,Piombino,4
2020-04-01,Bassa val di Cecina Val di Cornia,Rosignano Marittimo,1
2020-04-01,Versilia,Cammaiore,2
2020-04-01,Versilia,Forte dei Marmi,2
2020-04-01,Versilia,Massarosa,1
2020-04-01,Versilia,Pietrasanta,2
2020-04-01,Versilia,Seravezza,2
2020-04-01,Versilia,Viareggio,2
